id,voteStatus,stage,roundName,votingStartDate,votingEndDate,votingOpenedAt,selectedFormation,winners,formations,id,venueName,venueCity,venueId,date,homeSquadId,awaySquadId,homeSquadName,awaySquadName,homeSquadAbbr,awaySquadAbbr,homeScore,awayScore,groupName,matchDay
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,36,Estadio Bbva,Guadalupe,12,2026-06-21T05:00:00+01:00,108,49,Tunisia,Japan,TUN,JPN,0,4,F,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,37,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-21T17:00:00+01:00,97,89,Spain,Saudi Arabia,ESP,KSA,4,0,H,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,38,Sofi Stadium,"Inglewood, California",4,2026-06-21T20:00:00+01:00,5,47,Belgium,IR Iran,BEL,IRN,0,0,G,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,39,Hard Rock Stadium,"Miami Gardens, Florida",15,2026-06-21T23:00:00+01:00,110,8,Uruguay,Cabo Verde,URU,CPV,2,2,H,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,40,Bc Place,Vancouver,8,2026-06-22T02:00:00+01:00,55,17,New Zealand,Egypt,NZL,EGY,1,3,G,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,41,At&t Stadium,"Arlington, Texas",10,2026-06-22T18:00:00+01:00,2,4,Argentina,Austria,ARG,AUT,2,0,J,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,42,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-22T22:00:00+01:00,19,48,France,Iraq,FRA,IRQ,3,0,I,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,43,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-23T01:00:00+01:00,56,95,Norway,Senegal,NOR,SEN,3,2,I,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,44,Levi's Stadium,"Santa Clara, California",5,2026-06-23T04:00:00+01:00,50,1,Jordan,Algeria,JOR,ALG,1,2,J,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,45,Nrg Stadium,"Houston, Texas",9,2026-06-23T18:00:00+01:00,59,112,Portugal,Uzbekistan,POR,UZB,5,0,K,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,46,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-23T21:00:00+01:00,18,21,England,Ghana,ENG,GHA,0,0,L,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,47,Bmo Field,Toronto,3,2026-06-24T00:00:00+01:00,57,13,Panama,Croatia,PAN,CRO,0,1,L,2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,48,Estadio Akron,Guadalajara,2,2026-06-24T03:00:00+01:00,10,11,Colombia,Congo DR,COL,COD,1,0,K,2
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,49,Bc Place,Vancouver,8,2026-06-24T20:00:00+01:00,99,9,Switzerland,Canada,SUI,CAN,2,1,B,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,50,Lumen Field,"Seattle, Washington",14,2026-06-24T20:00:00+01:00,6,60,Bosnia and Herzegovina,Qatar,BIH,QAT,3,1,B,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,52,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-24T23:00:00+01:00,53,46,Morocco,Haiti,MAR,HAI,4,2,C,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,51,Hard Rock Stadium,"Miami Gardens, Florida",15,2026-06-24T23:00:00+01:00,90,7,Scotland,Brazil,SCO,BRA,0,3,C,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,53,Estadio Banorte,Mexico City,1,2026-06-25T02:00:00+01:00,15,52,Czechia,Mexico,CZE,MEX,0,3,A,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,54,Estadio Bbva,Guadalupe,12,2026-06-25T02:00:00+01:00,96,51,South Africa,Korea Republic,RSA,KOR,1,0,A,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,55,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-25T21:00:00+01:00,16,20,Ecuador,Germany,ECU,GER,2,1,E,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,56,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-25T21:00:00+01:00,14,12,Curaçao,Côte d'Ivoire,CUW,CIV,0,2,E,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,58,At&t Stadium,"Arlington, Texas",10,2026-06-26T00:00:00+01:00,49,98,Japan,Sweden,JPN,SWE,1,1,F,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,57,Geha Field At Arrowhead Stadium,"Kansas City, Missouri",16,2026-06-26T00:00:00+01:00,108,54,Tunisia,Netherlands,TUN,NED,1,3,F,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,59,Sofi Stadium,"Inglewood, California",4,2026-06-26T03:00:00+01:00,109,111,Türkiye,USA,TUR,USA,3,2,D,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,60,Levi's Stadium,"Santa Clara, California",5,2026-06-26T03:00:00+01:00,58,3,Paraguay,Australia,PAR,AUS,0,0,D,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,62,Bmo Field,Toronto,3,2026-06-26T20:00:00+01:00,95,48,Senegal,Iraq,SEN,IRQ,5,0,I,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,61,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-26T20:00:00+01:00,56,19,Norway,France,NOR,FRA,1,4,I,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,63,Estadio Akron,Guadalajara,2,2026-06-27T01:00:00+01:00,110,97,Uruguay,Spain,URU,ESP,0,1,H,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,64,Nrg Stadium,"Houston, Texas",9,2026-06-27T01:00:00+01:00,8,89,Cabo Verde,Saudi Arabia,CPV,KSA,0,0,H,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,65,Bc Place,Vancouver,8,2026-06-27T04:00:00+01:00,55,5,New Zealand,Belgium,NZL,BEL,1,5,G,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,66,Lumen Field,"Seattle, Washington",14,2026-06-27T04:00:00+01:00,17,47,Egypt,IR Iran,EGY,IRN,1,1,G,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,67,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-27T22:00:00+01:00,57,18,Panama,England,PAN,ENG,0,2,L,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,68,Lincoln Financial Field,"Philadelphia, Pennsylvania",11,2026-06-27T22:00:00+01:00,13,21,Croatia,Ghana,CRO,GHA,2,1,L,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,70,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-28T00:30:00+01:00,11,112,Congo DR,Uzbekistan,COD,UZB,3,1,K,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,69,Hard Rock Stadium,"Miami Gardens, Florida",15,2026-06-28T00:30:00+01:00,10,59,Colombia,Portugal,COL,POR,0,0,K,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,71,At&t Stadium,"Arlington, Texas",10,2026-06-28T03:00:00+01:00,50,2,Jordan,Argentina,JOR,ARG,1,3,J,3
3,complete,group,round_3,2026-06-28T05:00:00+01:00,2026-06-30T05:00:00+01:00,2026-06-28T05:00:03+01:00,,"[1839, 1976, 2279, 2280]",,72,Geha Field At Arrowhead Stadium,"Kansas City, Missouri",16,2026-06-28T03:00:00+01:00,1,4,Algeria,Austria,ALG,AUT,3,3,J,3
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,73,Sofi Stadium,"Inglewood, California",4,2026-06-28T20:00:00+01:00,96,9,South Africa,Canada,RSA,CAN,0,1,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,74,Nrg Stadium,"Houston, Texas",9,2026-06-29T18:00:00+01:00,7,49,Brazil,Japan,BRA,JPN,2,1,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,78,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-29T21:30:00+01:00,20,58,Germany,Paraguay,GER,PAR,1,1,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,75,Estadio Bbva,Guadalupe,12,2026-06-30T02:00:00+01:00,54,53,Netherlands,Morocco,NED,MAR,1,1,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,77,At&t Stadium,"Arlington, Texas",10,2026-06-30T18:00:00+01:00,12,56,Côte d'Ivoire,Norway,CIV,NOR,1,2,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,80,Metlife Stadium,"East Rutherford, New Jersey",6,2026-06-30T22:00:00+01:00,19,98,France,Sweden,FRA,SWE,3,0,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,82,Estadio Banorte,Mexico City,1,2026-07-01T03:00:00+01:00,52,16,Mexico,Ecuador,MEX,ECU,2,0,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,83,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-07-01T17:00:00+01:00,18,11,England,Congo DR,ENG,COD,2,1,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,84,Lumen Field,"Seattle, Washington",14,2026-07-01T21:00:00+01:00,5,95,Belgium,Senegal,BEL,SEN,3,2,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,76,Levi's Stadium,"Santa Clara, California",5,2026-07-02T01:00:00+01:00,111,6,USA,Bosnia and Herzegovina,USA,BIH,2,0,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,87,Sofi Stadium,"Inglewood, California",4,2026-07-02T20:00:00+01:00,97,4,Spain,Austria,ESP,AUT,3,0,,4
4,complete,r32,round_of_32,2026-07-04T04:30:00+01:00,2026-07-06T04:30:00+01:00,2026-07-04T04:40:02+01:00,,"[1828, 1844, 1987, 2111]",,85,Bmo Field,Toronto,3,2026-07-03T00:00:00+01:00,59,13,Portugal,Croatia,POR,CRO,2,1,,4
