id,voteStatus,stage,roundName,votingStartDate,votingEndDate,votingOpenedAt,selectedFormation,winners,formations,id.1,venueName,venueCity,venueId,date,homeSquadId,awaySquadId,homeSquadName,awaySquadName,homeSquadAbbr,awaySquadAbbr,homeScore,awayScore,groupName,matchDay,goal_diff,rank,team_id,Team,TeamAbbr,home_Goals,Assists,home_Attempts_at_goal,home_Attempts_on_target,Off_Target_Attempts,home_ConversionRate,home_Attempts_inside_PA,Attemps_Outside_PenaltyArea,home_Headed_attempts,home_xG,xG_Efficiency,Corners,home_Possession,rank_away,team_id_away,Team_away,TeamAbbr_away,away_Goals,Assists_away,away_Attempts_at_goal,away_Attempts_on_target,Off_Target_Attempts_away,away_ConversionRate,away_Attempts_inside_PA,Attemps_Outside_PenaltyArea_away,away_Headed_attempts,away_xG,xG_Efficiency_away,Corners_away,away_Possession,diff_goals_scored,diff_attempts_at_goal,diff_attempts_on_target,diff_conversion_rate,diff_attempts_inside_pa,diff_headed_attempts,diff_xG,diff_possession
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,21,Nrg Stadium,"Houston, Texas",9,2026-06-17T18:00:00+01:00,59,11,Portugal,Congo DR,POR,COD,1,1,K,1,0,17,59,Portugal,POR,8,4,62,17,31,13,40,22,8,6.39,1.25,22,53,24,11,Cote d'Ivoire,COD,5,4,45,14,17,11,30,15,3,5.5,0.91x,26,45,3,17,3,2,10,5,0.8899999999999997,8
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,22,At&t Stadium,"Arlington, Texas",10,2026-06-17T21:00:00+01:00,18,13,England,Croatia,ENG,CRO,4,2,L,1,2,3,18,England,ENG,20,14,118,52,40,17,88,30,27,15.03,1.33,40,50,29,13,Croatia,CRO,6,5,37,17,14,16,21,16,8,3.41,1.76x,12,46,14,81,35,1,67,19,11.62,4
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,23,Bmo Field,Toronto,3,2026-06-18T00:00:00+01:00,21,57,Ghana,Panama,GHA,PAN,1,0,L,1,1,43,21,Ghana,GHA,2,2,23,3,10,9,12,11,3,2.34,0.85,8,34,34,57,Panama,PAN,0,0,32,7,16,0,20,12,5,2.19,0x,12,42,2,-9,-4,9,-8,-2,0.1499999999999999,-8
1,complete,group,round_1,2026-06-18T05:00:00+01:00,2026-06-20T05:00:00+01:00,2026-06-18T09:10:01+01:00,,"[1844, 1987, 2267, 2571]",,24,Estadio Banorte,Mexico City,1,2026-06-18T03:00:00+01:00,112,10,Uzbekistan,Colombia,UZB,COL,1,3,K,1,-2,45,112,Uzbekistan,UZB,2,1,18,5,8,11,10,8,2,1.71,1.17,9,35,27,10,Congo DR,COL,5,3,41,10,25,12,18,23,5,3.71,1.35x,13,37,-3,-23,-5,-1,-8,-3,-2.0,-2
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,25,Mercedes-benz Stadium,"Atlanta, Georgia",13,2026-06-18T17:00:00+01:00,15,96,Czechia,South Africa,CZE,RSA,1,1,A,2,0,33,15,Czechia,CZE,2,2,34,8,15,6,22,12,10,2.44,0.82,15,37,28,96,South Africa,RSA,2,1,39,11,18,5,13,26,5,2.48,0.8x,11,46,0,-5,-3,1,9,5,-0.040000000000000036,-9
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,26,Sofi Stadium,"Inglewood, California",4,2026-06-18T20:00:00+01:00,99,6,Switzerland,Bosnia and Herzegovina,SUI,BIH,4,1,B,2,3,8,99,Switzerland,SUI,10,6,74,30,28,14,50,24,7,9.59,1.04,28,49,29,6,Bosnia and Herzegovina,BIH,5,3,37,14,14,14,16,21,5,2.04,2.45x,15,40,5,37,16,0,34,2,7.55,9
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,27,Bc Place,Vancouver,8,2026-06-18T23:00:00+01:00,9,60,Canada,Qatar,CAN,QAT,6,0,B,2,6,6,9,Colombia,CAN,5,5,94,31,40,5,55,39,13,7.32,0.68,24,53,47,60,Qatar,QAT,2,1,17,6,10,12,10,7,2,1.88,1.06x,9,31,3,77,25,-7,45,11,5.44,22
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,28,Estadio Akron,Guadalajara,2,2026-06-19T02:00:00+01:00,52,51,Mexico,Korea Republic,MEX,KOR,1,0,A,2,1,11,52,Mexico,MEX,10,7,70,21,32,14,44,26,13,8.1,1.23,19,48,34,51,Korea Republic,KOR,2,2,32,11,13,6,21,11,9,3.38,0.59x,12,56,8,38,10,8,23,4,4.72,-8
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,29,Lumen Field,"Seattle, Washington",14,2026-06-19T20:00:00+01:00,111,3,USA,Australia,USA,AUS,2,0,D,2,2,18,111,USA,USA,11,4,59,19,24,19,47,12,12,6.37,1.73,26,52,26,3,Australia,AUS,3,1,42,13,19,7,26,16,6,2.73,1.1x,16,35,8,17,6,12,21,6,3.64,17
2,complete,group,round_2,2026-06-24T05:00:00+01:00,2026-06-26T05:00:00+01:00,2026-06-24T03:10:02+01:00,,"[1844, 1969, 2139, 2701]",,30,Gillette Stadium,"Foxborough, Massachusetts",7,2026-06-19T23:00:00+01:00,90,53,Scotland,Morocco,SCO,MAR,0,1,C,2,-1,40,90,Scotland,SCO,1,0,29,7,12,3,23,6,6,2.34,0.43,12,41,13,53,Morocco,MAR,10,9,69,26,23,14,39,30,10,6.57,1.52x,30,53,-9,-40,-19,-11,-16,-4,-4.23,-12
